image1_path,image2_path,confidence
../data/raw/worms/extracted/20250318/image_00145.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00146.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00147.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00148.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00149.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00150.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00151.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00152.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00153.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00154.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00155.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00156.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00157.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00158.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00159.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00160.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00161.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00162.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00163.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00164.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00165.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00166.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00167.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00168.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00169.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00170.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00171.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00172.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00173.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00174.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00175.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00176.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00177.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00178.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00179.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00180.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00181.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00182.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00183.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00184.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00185.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00186.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00187.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00188.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00189.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00190.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00191.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00192.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00193.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00194.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00195.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00196.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00197.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00198.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00199.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00200.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00201.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00202.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00203.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00204.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00205.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00206.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00207.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00208.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00209.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00210.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00211.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00212.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00213.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00214.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00215.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00216.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00217.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00218.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00219.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00220.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00221.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00222.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00223.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00224.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00225.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00226.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00227.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00228.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00229.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00230.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00231.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00232.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00233.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00234.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00235.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00236.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00237.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00238.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00239.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00240.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00241.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00242.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00243.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00244.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00245.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00246.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00247.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00248.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00249.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00250.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00251.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00252.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00253.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00254.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00255.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00256.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00257.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00258.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00259.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00260.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00261.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00262.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00263.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00264.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00265.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00266.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00267.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00268.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00269.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00270.npy,Not enough keypoints in query image,0.0000
